russian,english
я,I
ты,you
он,he
она,she
оно,it
мы,we
вы,you
они,they
быть,be
иметь,have
делать,do
сказать,say
получать,get
идти,go
знать,know
думать,think
смотреть,see
приходить,come
хотеть,want
давать,give
использовать,use
находить,find
рассказывать,tell
спрашивать,ask
работать,work
казаться,seem
чувствовать,feel
пытаться,try
оставаться,stay
держать,keep
останавливаться,stop
говорить,speak
помогать,help
показывать,show
слышать,hear
играть,play
бежать,run
двигаться,move
жить,live
верить,believe
брать,take
происходить,happen
писать,write
сидеть,sit
стоять,stand
терять,lose
платить,pay
встречать,meet
включать,include
продолжать,continue
устанавливать,set
учиться,learn
менять,change
вести,lead
понимать,understand
наблюдать,watch
следовать,follow
уезжать,leave
позволять,allow
добавлять,add
называть,call
начинать,begin
появляться,appear
значить,mean
носить,wear
покупать,buy
подниматься,rise
выбирать,choose
падать,fall
течь,flow
бить,beat
поднимать,lift
готовить,cook
разговаривать,talk
молчать,remain
нести,carry
ломать,break
петь,sing
закрывать,close
достигать,reach
решать,decide
надеяться,hope
слушать,listen
путешествовать,travel
есть,eat
расти,grow
открывать,open
ходить,walk
побеждать,win
учить,teach
предлагать,offer
помнить,remember
рассматривать,consider
содержать,contain
зависеть,depend
вовлекать,involve
строить,build
улучшать,improve
поддерживать,support
собирать,gather
управлять,manage
развивать,develop
служить,serve
создавать,create
проходить,pass
продавать,sell
нуждаться,need
становиться,become
уменьшать,reduce
представлять,represent
применять,apply
формировать,form
существовать,exist
возникать,arise
влиять,affect
соединять,connect
предоставлять,provide
производить,produce
полагаться,rely
входить,enter
отражать,reflect
объявлять,announce
заканчивать,finish
приобретать,acquire
оценивать,assess
увеличиваться,increase
обращать внимание,attend
привлекать,attract
основывать,base
приносить,bring
конструировать,construct
демонстрировать,demonstrate
обеспечивать,ensure
расширять,expand
объяснять,explain
способствовать,facilitate
фокусироваться,focus
генерировать,generate
идентифицировать,identify
иллюстрировать,illustrate
реализовывать,implement
подразумевать,imply
указывать,indicate
инициировать,initiate
интегрировать,integrate
предназначать,intend
исследовать,investigate
участвовать,participate
воспринимать,perceive
выполнять,perform
предпочитать,prefer
предотвращать,prevent
обрабатывать,process
требовать,require
резюмировать,summarize
передавать,transmit
обновлять,update
проверять,verify
предупреждать,warn
осознавать,realize
признавать,recognize
отвечать,respond
восстанавливать,restore
сохранять,retain
искать,seek
делиться,share
адаптироваться,adapt
анализировать,analyze
исполнять,execute
инициализировать,initialize
интерпретировать,interpret
